id,addtime,title,imgurl,jiage,qipi,turnover,xunjia,seller,address,pingjia,leibie,city,tags,xqurl
6,2026-04-29 10:38:26,老鹅 白条老鹅 散养老鹅 7只心肝老鹅,"https://image.cnhnb.com/transcode/video/mp4/head/2023/03/15/d2d40e4b8fc64e1e88ae488051353bbc.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",370.0,1箱起批,0,795,东徽禽业,山东省济南市历城区,0,禽畜肉蛋,济南,货版一致,https://www.cnhnb.com/gongying/7632434/
10,2026-04-29 10:38:23,【新鲜宰杀】散养雁鹅新鲜现杀雁鹅农家散养东北雁鹅驰雁非白条鹅,"https://image.cnhnb.com/change/image/tos/pro/jpg/details/2026/01/03/ab975d0bef2341e8bee766f2e826627a.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",6.0,1只起批,3,10550,华东生鲜产地供应链,吉林省松原市宁江区,3,禽畜肉蛋,松原,货版一致,https://www.cnhnb.com/gongying/7474273/
13,2026-04-29 10:38:20,类  正宗纯老鹅，口感一级棒！大小均匀，量大从优！,"https://image.cnhnb.com/image/jpeg/head/2021/03/04/249537a6921f460c9966516851c71b9f.jpeg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",380.0,10件起批,0,3264,济南嘉信食品,山东省济南市历城区,0,禽畜肉蛋,济南,货版一致,https://www.cnhnb.com/gongying/6175588/
14,2026-04-29 10:38:29,类 鹅产品大全：仔鹅，老鹅，鹅副产品！应有尽有！,"https://image.cnhnb.com/image/jpg/head/2021/12/22/8d08afc6e7ce4a9586275850da5fc89d.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",155.0,10件起批,0,3264,济南嘉信食品,山东省济南市历城区,0,禽畜肉蛋,济南,货版一致,https://www.cnhnb.com/gongying/6856974/
17,2026-04-29 10:38:24,类   仔鹅，老鹅厂家直销,"https://image.cnhnb.com/image/jpg/head/2021/12/15/c0ce0192f35a490c97c6c220c4860aaa.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",202.0,10件起批,0,3264,济南嘉信食品,山东省济南市历城区,0,禽畜肉蛋,济南,货版一致,https://www.cnhnb.com/gongying/6851996/
19,2026-04-29 10:38:23,白条鹅  仔鹅（品牌齐全）5-8只均有货！近日期，质量特别好,"https://image.cnhnb.com/image/jpeg/head/2019/12/11/a963211121724c88b222eb07e4985304.jpeg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",160.0,10件起批,1,3264,济南嘉信食品,山东省济南市历城区,1,禽畜肉蛋,济南,货版一致,https://www.cnhnb.com/gongying/4922204/
20,2026-04-29 10:38:23,白条鹅  东北老鹅,"https://image.cnhnb.com/image/jpeg/head/2019/12/21/a40da086b342430b8e7f6ddc83611f35.jpeg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",450.0,10件起批,0,3264,济南嘉信食品,山东省济南市历城区,0,禽畜肉蛋,济南,货版一致,https://www.cnhnb.com/gongying/4954816/
24,2026-04-29 10:38:29,新鲜雁鹅现杀冷冻雁鹅整只发货无内脏鹅,"https://image.cnhnb.com/change/image/tos/pro/jpg/details/2024/03/27/a7aa57664df548d9a6e3fab64d490f80.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",6.0,1只起批,1,4163,华南生鲜产地供应链,吉林省松原市宁江区,1,禽畜肉蛋,松原,货版一致,https://www.cnhnb.com/gongying/8187347/
32,2026-04-29 10:38:24,优质鹅体 烧鹅专用 包邮发货,"https://image.cnhnb.com/change/image/tos/pro/jpg/details/2025/04/24/4d705ace7ee04c76aea857e5c05fd5d3.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",7.5,30斤起批,0,343,旭娜农业法式鹅肝,安徽省合肥市肥东县,0,禽畜肉蛋,肥东县,部分包邮,https://www.cnhnb.com/gongying/8398426/
35,2026-04-29 10:38:29,乌鬃鹅  清远黑棕鹅棚鹅烧鹅专用质量保证大智金东牌子新鲜急冻,"https://image.cnhnb.com/image/jpeg/head/2019/05/24/0b4296f9a71c4be0b0dc8f207501f74c.jpeg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",16.0,20斤起批,3,3699,广州市荔湾区浪鑫食品店,广东省广州市荔湾区,3,禽畜肉蛋,广州,货版一致,https://www.cnhnb.com/gongying/4211831/
40,2026-04-29 10:38:30,类  新鲜黑棕鹅棚鹅当天屠宰清远黑棕鹅烧鹅专用,"https://image.cnhnb.com/transcode/video/mp4/head/2021/03/27/f59c716323d441a687308c8c5b198e56.jpg?x-tos-process=image/resize,m_fill,w_525,h_525/interlace,1/quality,q_100/format,jpg",15.0,30斤起批,0,3699,广州市荔湾区浪鑫食品店,广东省广州市荔湾区,0,禽畜肉蛋,广州,货版一致,https://www.cnhnb.com/gongying/6244153/
